	rmspe_pre	rmspe_post	ratio	
11	 3174.2974	 2804.4941	 .88350075	
11	 2804.4941	 2804.4941	         1	
11	 2804.4941	 2804.4941	         1	
11	 2804.4941	 2804.4941	         1	
11	 2804.4941	 2804.4941	         1	
11	 2804.4941	 2804.4941	         1	
11	 2804.4941	 2804.4941	         1	
12	         .	         .	         .	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	         .	         1	
12	 652.96411	 7387.2358	 11.313387	
12	 7387.2358	 7387.2358	         1	
12	 7387.2358	 7387.2358	         1	
12	 7387.2358	 7387.2358	         1	
12	 7387.2358	 7387.2358	         1	
12	 7387.2358	 7387.2358	         1	
12	 7387.2358	 7387.2358	         1	
13	         .	         .	         .	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	         .	         1	
13	 286.47797	 2164.3723	  7.555109	
13	 2164.3723	 2164.3723	         1	
13	 2164.3723	 2164.3723	         1	
13	 2164.3723	 2164.3723	         1	
13	 2164.3723	 2164.3723	         1	
13	 2164.3723	 2164.3723	         1	
13	 2164.3723	 2164.3723	         1	
15	         .	         .	         .	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	         .	         1	
15	 661.54944	 723.53503	 1.0936975	
15	 723.53503	 723.53503	         1	
15	 723.53503	 723.53503	         1	
15	 723.53503	 723.53503	         1	
15	 723.53503	 723.53503	         1	
15	 723.53503	 723.53503	         1	
15	 723.53503	 723.53503	         1	
16	         .	         .	         .	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	         .	         1	
16	 13.500081	 19.546703	 1.4478953	
16	 19.546703	 19.546703	         1	
16	 19.546703	 19.546703	         1	
16	 19.546703	 19.546703	         1	
16	 19.546703	 19.546703	         1	
16	 19.546703	 19.546703	         1	
16	 19.546703	 19.546703	         1	
17	         .	         .	         .	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	         .	         1	
17	 342.80731	 6522.2124	 19.025885	
17	 6522.2124	 6522.2124	         1	
17	 6522.2124	 6522.2124	         1	
17	 6522.2124	 6522.2124	         1	
17	 6522.2124	 6522.2124	         1	
17	 6522.2124	 6522.2124	         1	
17	 6522.2124	 6522.2124	         1	
18	         .	         .	         .	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	         .	         1	
18	 248.24547	 1766.2393	 7.1148901	
18	 1766.2393	 1766.2393	         1	
18	 1766.2393	 1766.2393	         1	
18	 1766.2393	 1766.2393	         1	
18	 1766.2393	 1766.2393	         1	
18	 1766.2393	 1766.2393	         1	
18	 1766.2393	 1766.2393	         1	
20	         .	         .	         .	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	         .	         1	
20	 135.58853	 424.48495	 3.1306849	
20	 424.48495	 424.48495	         1	
20	 424.48495	 424.48495	         1	
20	 424.48495	 424.48495	         1	
20	 424.48495	 424.48495	         1	
20	 424.48495	 424.48495	         1	
20	 424.48495	 424.48495	         1	
21	         .	         .	         .	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	         .	         1	
21	 86.017738	 636.27173	 7.3969827	
21	 636.27173	 636.27173	         1	
21	 636.27173	 636.27173	         1	
21	 636.27173	 636.27173	         1	
21	 636.27173	 636.27173	         1	
21	 636.27173	 636.27173	         1	
21	 636.27173	 636.27173	         1	
22	         .	         .	         .	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	         .	         1	
22	 936.67798	 794.85168	 .84858584	
22	 794.85168	 794.85168	         1	
22	 794.85168	 794.85168	         1	
22	 794.85168	 794.85168	         1	
22	 794.85168	 794.85168	         1	
22	 794.85168	 794.85168	         1	
22	 794.85168	 794.85168	         1	
23	         .	         .	         .	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	         .	         1	
23	 35.287525	 68.660774	  1.945752	
23	 68.660774	 68.660774	         1	
23	 68.660774	 68.660774	         1	
23	 68.660774	 68.660774	         1	
23	 68.660774	 68.660774	         1	
23	 68.660774	 68.660774	         1	
23	 68.660774	 68.660774	         1	
24	         .	         .	         .	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	         .	         1	
24	 617.96613	  2657.697	 4.3007164	
24	  2657.697	  2657.697	         1	
24	  2657.697	  2657.697	         1	
24	  2657.697	  2657.697	         1	
24	  2657.697	  2657.697	         1	
24	  2657.697	  2657.697	         1	
24	  2657.697	  2657.697	         1	
25	         .	         .	         .	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	         .	         1	
25	  217.5993	 1005.2872	 4.6199012	
25	 1005.2872	 1005.2872	         1	
25	 1005.2872	 1005.2872	         1	
25	 1005.2872	 1005.2872	         1	
25	 1005.2872	 1005.2872	         1	
25	 1005.2872	 1005.2872	         1	
25	 1005.2872	 1005.2872	         1	
26	         .	         .	         .	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	         .	         1	
26	 753.33478	 3169.0989	 4.2067604	
26	 3169.0989	 3169.0989	         1	
26	 3169.0989	 3169.0989	         1	
26	 3169.0989	 3169.0989	         1	
26	 3169.0989	 3169.0989	         1	
26	 3169.0989	 3169.0989	         1	
26	 3169.0989	 3169.0989	         1	
27	         .	         .	         .	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	         .	         1	
27	 70.514015	 409.53845	 5.8079014	
27	 409.53845	 409.53845	         1	
27	 409.53845	 409.53845	         1	
27	 409.53845	 409.53845	         1	
27	 409.53845	 409.53845	         1	
27	 409.53845	 409.53845	         1	
27	 409.53845	 409.53845	         1	
28	         .	         .	         .	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	         .	         1	
28	 1859.7559	 1745.0341	 .93831354	
28	 1745.0341	 1745.0341	         1	
28	 1745.0341	 1745.0341	         1	
28	 1745.0341	 1745.0341	         1	
28	 1745.0341	 1745.0341	         1	
28	 1745.0341	 1745.0341	         1	
28	 1745.0341	 1745.0341	         1	
29	         .	         .	         .	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	         .	         1	
29	 326.48264	 669.52759	 2.0507295	
29	 669.52759	 669.52759	         1	
29	 669.52759	 669.52759	         1	
29	 669.52759	 669.52759	         1	
29	 669.52759	 669.52759	         1	
29	 669.52759	 669.52759	         1	
29	 669.52759	 669.52759	         1	
30	         .	         .	         .	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	         .	         1	
30	 4.4646835	 24.098894	 5.3976712	
30	 24.098894	 24.098894	         1	
30	 24.098894	 24.098894	         1	
30	 24.098894	 24.098894	         1	
30	 24.098894	 24.098894	         1	
30	 24.098894	 24.098894	         1	
30	 24.098894	 24.098894	         1	
31	         .	         .	         .	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	         .	         1	
31	 31.294174	 170.49597	 5.4481697	
31	 170.49597	 170.49597	         1	
31	 170.49597	 170.49597	         1	
31	 170.49597	 170.49597	         1	
31	 170.49597	 170.49597	         1	
31	 170.49597	 170.49597	         1	
31	 170.49597	 170.49597	         1	
32	         .	         .	         .	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	         .	         1	
32	 145.96931	 598.75586	 4.1019297	
32	 598.75586	 598.75586	         1	
32	 598.75586	 598.75586	         1	
32	 598.75586	 598.75586	         1	
32	 598.75586	 598.75586	         1	
32	 598.75586	 598.75586	         1	
32	 598.75586	 598.75586	         1	
33	         .	         .	         .	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	         .	         1	
33	 16.978605	 34.370537	  2.024344	
33	 34.370537	 34.370537	         1	
33	 34.370537	 34.370537	         1	
33	 34.370537	 34.370537	         1	
33	 34.370537	 34.370537	         1	
33	 34.370537	 34.370537	         1	
33	 34.370537	 34.370537	         1	
34	         .	         .	         .	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	         .	         1	
34	 394.27155	 782.85602	 1.9855758	
34	 782.85602	 782.85602	         1	
34	 782.85602	 782.85602	         1	
34	 782.85602	 782.85602	         1	
34	 782.85602	 782.85602	         1	
34	 782.85602	 782.85602	         1	
34	 782.85602	 782.85602	         1	
35	         .	         .	         .	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	         .	         1	
35	  21.58923	 54.974007	 2.5463626	
35	 54.974007	 54.974007	         1	
35	 54.974007	 54.974007	         1	
35	 54.974007	 54.974007	         1	
35	 54.974007	 54.974007	         1	
35	 54.974007	 54.974007	         1	
35	 54.974007	 54.974007	         1	
36	         .	         .	         .	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	         .	         1	
36	 1742.4194	 2397.8376	 1.3761541	
36	 2397.8376	 2397.8376	         1	
36	 2397.8376	 2397.8376	         1	
36	 2397.8376	 2397.8376	         1	
36	 2397.8376	 2397.8376	         1	
36	 2397.8376	 2397.8376	         1	
36	 2397.8376	 2397.8376	         1	
37	         .	         .	         .	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	         .	         1	
37	 1155.5404	 3149.3806	 2.7254612	
37	 3149.3806	 3149.3806	         1	
37	 3149.3806	 3149.3806	         1	
37	 3149.3806	 3149.3806	         1	
37	 3149.3806	 3149.3806	         1	
37	 3149.3806	 3149.3806	         1	
37	 3149.3806	 3149.3806	         1	
38	         .	         .	         .	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	         .	         1	
38	 29.416918	 53.957119	 1.8342206	
38	 53.957119	 53.957119	         1	
38	 53.957119	 53.957119	         1	
38	 53.957119	 53.957119	         1	
38	 53.957119	 53.957119	         1	
38	 53.957119	 53.957119	         1	
38	 53.957119	 53.957119	         1	
39	         .	         .	         .	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	         .	         1	
39	 816.84436	  1872.941	 2.2928982	
39	  1872.941	  1872.941	         1	
39	  1872.941	  1872.941	         1	
39	  1872.941	  1872.941	         1	
39	  1872.941	  1872.941	         1	
39	  1872.941	  1872.941	         1	
39	  1872.941	  1872.941	         1	
40	         .	         .	         .	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	         .	         1	
40	 123.08318	 1627.0099	 13.218783	
40	 1627.0099	 1627.0099	         1	
40	 1627.0099	 1627.0099	         1	
40	 1627.0099	 1627.0099	         1	
40	 1627.0099	 1627.0099	         1	
40	 1627.0099	 1627.0099	         1	
40	 1627.0099	 1627.0099	         1	
41	         .	         .	         .	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	         .	         1	
41	 58.962502	 69.510262	 1.1788893	
41	 69.510262	 69.510262	         1	
41	 69.510262	 69.510262	         1	
41	 69.510262	 69.510262	         1	
41	 69.510262	 69.510262	         1	
41	 69.510262	 69.510262	         1	
41	 69.510262	 69.510262	         1	
42	         .	         .	         .	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	         .	         1	
42	 353.97919	 1062.8662	 3.0026236	
42	 1062.8662	 1062.8662	         1	
42	 1062.8662	 1062.8662	         1	
42	 1062.8662	 1062.8662	         1	
42	 1062.8662	 1062.8662	         1	
42	 1062.8662	 1062.8662	         1	
42	 1062.8662	 1062.8662	         1	
45	         .	         .	         .	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	         .	         1	
45	 589.51343	  4355.918	 7.3890057	
45	  4355.918	  4355.918	         1	
45	  4355.918	  4355.918	         1	
45	  4355.918	  4355.918	         1	
45	  4355.918	  4355.918	         1	
45	  4355.918	  4355.918	         1	
45	  4355.918	  4355.918	         1	
46	         .	         .	         .	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	         .	         1	
46	 7.9508023	 29.232244	 3.6766407	
46	 29.232244	 29.232244	         1	
46	 29.232244	 29.232244	         1	
46	 29.232244	 29.232244	         1	
46	 29.232244	 29.232244	         1	
46	 29.232244	 29.232244	         1	
46	 29.232244	 29.232244	         1	
47	         .	         .	         .	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	         .	         1	
47	 232.41884	 2596.5652	 11.171923	
47	 2596.5652	 2596.5652	         1	
47	 2596.5652	 2596.5652	         1	
47	 2596.5652	 2596.5652	         1	
47	 2596.5652	 2596.5652	         1	
47	 2596.5652	 2596.5652	         1	
47	 2596.5652	 2596.5652	         1	
48	         .	         .	         .	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	         .	         1	
48	 1296.2725	 23569.021	 18.182152	
48	 23569.021	 23569.021	         1	
48	 23569.021	 23569.021	         1	
48	 23569.021	 23569.021	         1	
48	 23569.021	 23569.021	         1	
48	 23569.021	 23569.021	         1	
48	 23569.021	 23569.021	         1	
49	         .	         .	         .	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	         .	         1	
49	 26.657207	 40.120968	 1.5050702	
49	 40.120968	 40.120968	         1	
49	 40.120968	 40.120968	         1	
49	 40.120968	 40.120968	         1	
49	 40.120968	 40.120968	         1	
49	 40.120968	 40.120968	         1	
49	 40.120968	 40.120968	         1	
51	         .	         .	         .	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	         .	         1	
51	 243.57521	 2342.0657	 9.6153698	
51	 2342.0657	 2342.0657	         1	
51	 2342.0657	 2342.0657	         1	
51	 2342.0657	 2342.0657	         1	
51	 2342.0657	 2342.0657	         1	
51	 2342.0657	 2342.0657	         1	
51	 2342.0657	 2342.0657	         1	
53	         .	         .	         .	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	         .	         1	
53	 165.80115	 584.94067	 3.5279651	
53	 584.94067	 584.94067	         1	
53	 584.94067	 584.94067	         1	
53	 584.94067	 584.94067	         1	
53	 584.94067	 584.94067	         1	
53	 584.94067	 584.94067	         1	
53	 584.94067	 584.94067	         1	
55	         .	         .	         .	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	         .	         1	
55	 123.20123	 1489.1044	 12.086765	
55	 1489.1044	 1489.1044	         1	
55	 1489.1044	 1489.1044	         1	
55	 1489.1044	 1489.1044	         1	
55	 1489.1044	 1489.1044	         1	
55	 1489.1044	 1489.1044	         1	
55	 1489.1044	 1489.1044	         1	
